ID,Education,Marital_Status,Income,Recency,Wine_Spending,Fruit_Spending,Meat_Spending,Fish_Spending,Sweet_Spending,Gold_Spending,Discount_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visit,Complain,Partner,Monetary,Frequency,Age,Length,Total_Campaign,Cluster_Group,CLV,Churn_Risk,Engagement_Score,Loyalty_Status
5524,Middle,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,1617,22,50-59,1213,1,1,8085,Low,59.51980198019802,Loyal
2174,Middle,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,2,27,4,60-69,663,0,0,135,Low,5.534653465346535,New
4141,Middle,Others,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,776,20,50-59,862,0,2,3880,Low,40.366336633663366,Loyal
6182,Middle,Others,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,1,53,6,30-39,689,0,0,265,Low,8.54950495049505,Regular
5324,Master,Married,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,1,422,14,30-39,711,0,0,2110,Low,25.856435643564357,Regular
7446,Master,Others,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,1,716,20,40-49,843,0,2,3580,Low,39.17821782178218,Loyal
965,Middle,Others,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,1,590,17,40-49,1143,0,1,2950,Low,32.93316831683168,Loyal
6177,Master,Married,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,1,169,8,30-39,967,0,0,845,Low,13.346534653465348,Regular
4855,Master,Others,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,46,5,40-49,938,1,0,230,Low,7.16089108910891,Regular
5899,Master,Others,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,2,49,1,60-69,658,1,0,245,Low,2.2202970297029703,New
1994,Middle,Married,35855.53504869265,11,5,5,6,0,2,1,1,1,0,2,7,0,1,19,3,30-39,776,0,0,95,Low,4.1262376237623775,New
387,Basic,Married,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,61,5,30-39,1143,0,0,305,Low,7.457920792079207,Regular
2125,Middle,Others,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,1102,15,50-59,776,0,2,5510,Low,40.571782178217816,Regular
